album_id,artist_id,title
337,266,Szymanowski  Piano Works  Vol  1
338,267,Nielsen  The Six Symphonies
339,268,Great Recordings of the Century  Paganini s 24 Caprices
340,269,Liszt   12   tudes D Execution Transcendante
341,270,Great Recordings of the Century   Shubert  Schwanengesang  4 Lieder
342,271,Locatelli  Concertos for Violin  Strings and Continuo  Vol  3
343,226,Respighi Pines of Rome
344,272,Schubert  The Late String Quartets   String Quintet  3 CD s 
345,273,Monteverdi  L Orfeo
346,274,Mozart  Chamber Music
347,275,Koyaanisqatsi  Soundtrack from the Motion Picture 
